[15:25:08	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:25:08	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:25:08	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:25:08	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:25:09	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:25:09	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:25:09	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:25:09	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:25:09	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:25:10	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:25:10	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:25:10	]Elazar Gül has fired a toolgun with the name: catmullrom_camera
[15:25:27	]Elazar Gül has fired a toolgun with the name: remover
[15:25:27	]Elazar Gül has fired a toolgun with the name: remover
[15:25:45	]Elazar Gül exited observer at their location.
[15:25:54	]Enistein loaded the character 'Norgaun'
[15:25:56	]Norgaun entered observer.
[15:25:59	]Norgaun is fully healed.
[15:26:01	]Norgaun exited observer at their location.
[15:26:11	]Norgaun entered observer.
[15:26:17	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:26:19	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:26:20	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:26:21	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:26:22	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:26:24	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:26:25	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:26:26	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:26:27	]Norgaun exited observer at their location.
[15:26:28	]Norgaun entered observer.
[15:26:28	]Norgaun exited observer at their location.
[15:26:57	]Norgaun entered observer.
[15:27:13	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:27:16	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:27:19	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:27:21	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:27:26	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:27:28	]Norgaun has fired a toolgun with the name: catmullrom_camera_duration
[15:27:35	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:28:54	]Norgaun has spawned a drug_happypie.
[15:28:57	]Norgaun has spawned a drug_blueberry.
[15:29:01	]Norgaun has spawned a drug_ozz.
[15:29:02	]Norgaun has spawned a rave.
[15:29:09	]Norgaun has spawned a drug_milkyway.
[15:29:11	]Norgaun has spawned a drug_thirdeye.
[15:29:26	]Norgaun has spawned a drug_spikedtea.
[15:29:31	]Norgaun has spawned a drug_xp.
[15:29:44	]Norgaun has spawned a drug_transhumano.
[15:30:00	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:30:00	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:30:00	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:30:00	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:30:00	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:30:01	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:30:01	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:30:01	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:30:01	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:30:01	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:30:02	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:30:02	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:30:02	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:30:02	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:30:02	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:30:03	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:30:03	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:30:03	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:30:03	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:30:28	]Norgaun has fired a toolgun with the name: remover
[15:30:29	]Norgaun has fired a toolgun with the name: remover
[15:30:29	]Norgaun has fired a toolgun with the name: remover
[15:30:29	]Norgaun has fired a toolgun with the name: remover
[15:30:29	]Norgaun has fired a toolgun with the name: remover
[15:30:30	]Norgaun has fired a toolgun with the name: remover
[15:30:30	]Norgaun has fired a toolgun with the name: remover
[15:30:30	]Norgaun has fired a toolgun with the name: remover
[15:30:31	]Norgaun has fired a toolgun with the name: remover
[15:30:31	]Norgaun has fired a toolgun with the name: remover
[15:30:31	]Norgaun has fired a toolgun with the name: remover
[15:30:31	]Norgaun has fired a toolgun with the name: remover
[15:30:32	]Norgaun has fired a toolgun with the name: remover
[15:30:32	]Norgaun has fired a toolgun with the name: remover
[15:30:32	]Norgaun has fired a toolgun with the name: remover
[15:30:32	]Norgaun has fired a toolgun with the name: remover
[15:30:32	]Norgaun has fired a toolgun with the name: remover
[15:30:33	]Norgaun has fired a toolgun with the name: remover
[15:30:33	]Norgaun has fired a toolgun with the name: remover
[15:30:33	]Norgaun has fired a toolgun with the name: remover
[15:30:33	]Norgaun has fired a toolgun with the name: remover
[15:31:22	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:31:24	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:31:26	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:31:27	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:31:29	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:31:32	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:31:35	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:31:46	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:31:49	]Norgaun has fired a toolgun with the name: catmullrom_camera_duration
[15:31:50	]Norgaun has fired a toolgun with the name: catmullrom_camera_duration
[15:31:50	]Norgaun has fired a toolgun with the name: catmullrom_camera_duration
[15:33:05	]Norgaun exited observer at their location.
[15:33:14	]Norgaun has spawned 'models/props_wasteland/controlroom_desk001a.mdl'.
[15:33:20	]Norgaun has spawned a tacticalrifle.
[15:33:25	]Norgaun has spawned a suppressionrifle.
[15:33:33	]Norgaun has spawned a assaultshotgun.
[15:33:44	]Norgaun has spawned a pulsecarbine.
[15:33:50	]Norgaun has spawned a scout.
[15:34:00	]Norgaun has spawned a msballrifle.
[15:34:06	]Norgaun has fired a toolgun with the name: remover
[15:34:06	]Norgaun has fired a toolgun with the name: remover
[15:34:06	]Norgaun has fired a toolgun with the name: remover
[15:34:07	]Norgaun has fired a toolgun with the name: remover
[15:34:07	]Norgaun has fired a toolgun with the name: remover
[15:34:07	]Norgaun has fired a toolgun with the name: remover
[15:34:07	]Norgaun has fired a toolgun with the name: remover
[15:34:07	]Norgaun has fired a toolgun with the name: remover
[15:34:07	]Norgaun has fired a toolgun with the name: remover
[15:34:08	]Norgaun has fired a toolgun with the name: remover
[15:34:08	]Norgaun has fired a toolgun with the name: remover
[15:34:11	]Norgaun has spawned 'models/props_wasteland/controlroom_desk001a.mdl'.
[15:34:13	]Norgaun has spawned 'models/props_wasteland/controlroom_desk001a.mdl'.
[15:34:26	]Norgaun has spawned a tacticalrifle.
[15:34:30	]Norgaun has spawned a suppressionrifle.
[15:34:33	]Norgaun entered observer.
[15:34:33	]Norgaun exited observer at their location.
[15:34:33	]Norgaun entered observer.
[15:34:33	]Norgaun exited observer at their location.
[15:34:40	]Norgaun has spawned a assaultshotgun.
[15:34:50	]Norgaun has spawned a pulsecarbine.
[15:34:59	]Norgaun has spawned a pulse.
[15:35:12	]Norgaun entered observer.
[15:35:13	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:35:14	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:35:14	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:35:14	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:35:15	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:35:15	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:35:15	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:35:15	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:35:15	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:35:16	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:35:16	]Norgaun has fired a toolgun with the name: catmullrom_camera
[15:35:42	]Norgaun has fired a toolgun with the name: remover
[15:35:43	]Norgaun has fired a toolgun with the name: remover
[15:35:43	]Norgaun has fired a toolgun with the name: remover
[15:35:44	]Norgaun has fired a toolgun with the name: remover
[15:35:45	]Norgaun has fired a toolgun with the name: remover
[15:35:45	]Norgaun has fired a toolgun with the name: remover
[15:36:14	]Norgaun exited observer at their location.
[15:36:24	]Norgaun entered observer.
[15:36:36	]Enistein has unloaded their "Norgaun" character.
[15:36:41	]Enistein loaded the character 'Elazar Gül'
[15:37:20	]Elazar Gül entered observer.
[15:39:30	]Enistein (STEAM_0:1:98500861) has disconnected.
[16:05:28	]otistik has connected.
[16:06:25	]otistik loaded the character 'Micheal Mactavish'
[16:06:31	]Micheal Mactavish entered observer.
[16:06:32	]Micheal Mactavish exited observer at their location.
[16:06:33	]Micheal Mactavish entered observer.
[16:06:35	]Micheal Mactavish exited observer at their location.
[16:06:35	]Micheal Mactavish entered observer.
[16:06:36	]Micheal Mactavish exited observer at their location.
[16:06:37	]Micheal Mactavish entered observer.
[16:06:41	]Micheal Mactavish exited observer at their location.
[16:07:28	]Sinyor Gordon has connected.
[16:08:00	]Micheal Mactavish entered observer.
[16:08:03	]Micheal Mactavish exited observer at their location.
[16:09:06	]Micheal Mactavish has used a context menu option with the name: vendor_edit
[16:09:21	]Micheal Mactavish entered observer.
[16:14:25	]otistik (STEAM_0:0:142449284) has disconnected.
[16:24:24	]Sinyor Gordon loaded the character 'Joe Rock'
[16:24:29	]Joe Rock entered observer.
[16:24:53	]Joe Rock exited observer at their location.
[16:24:55	]Joe Rock entered observer.
[16:25:03	]Joe Rock exited observer at their location.
[16:25:04	]Joe Rock entered observer.
[16:25:26	]Joe Rock exited observer at their location.
[16:25:28	]Joe Rock entered observer.
[16:25:32	]Joe Rock exited observer at their location.
[16:25:35	]Joe Rock entered observer.
[16:25:35	]Joe Rock exited observer at their location.
[16:25:37	]Joe Rock entered observer.
[16:25:43	]Joe Rock exited observer at their location.
[16:25:45	]Joe Rock entered observer.
[16:26:00	]Joe Rock exited observer at their location.
[16:26:01	]Joe Rock entered observer.
[16:26:23	]Joe Rock exited observer at their location.
[16:26:25	]Joe Rock entered observer.
[16:26:53	]Joe Rock exited observer at their location.
[16:26:56	]Joe Rock has spawned 'models/props_c17/metalladder001.mdl'.
[16:27:05	]Joe Rock has spawned 'models/props_interiors/Furniture_Lamp01a.mdl'.
[16:27:18	]Joe Rock has spawned 'models/props_c17/lampShade001a.mdl'.
[16:27:36	]Joe Rock has spawned 'models/props_c17/lampShade001a.mdl'.
[16:28:06	]Joe Rock entered observer.
[16:28:21	]Joe Rock exited observer at their location.
[16:28:22	]Joe Rock entered observer.
[16:28:22	]Joe Rock exited observer at their location.
[16:28:23	]Joe Rock entered observer.
[16:28:24	]Joe Rock exited observer at their location.
[16:28:24	]Joe Rock entered observer.
[16:28:25	]Joe Rock exited observer at their location.
[16:28:26	]Joe Rock entered observer.
[16:28:26	]Joe Rock exited observer at their location.
[16:28:28	]Joe Rock entered observer.
[16:28:33	]Joe Rock exited observer at their location.
[16:28:34	]Joe Rock entered observer.
[16:28:39	]Joe Rock exited observer at their location.
